class_index;predefined_categories;keywords
1;Cafe;Cafe Coffee
2;Warung;Hawker Stall Tegal
3;Rice;Nasi Padang Indonesian Porridge
4;Soup;Bakso Noodle Soto
5;Chicken;Ayam Chicken Satay
6;Meat;Satay Bakso House Kebab
7;Seafood;Ikan Fish Seafood Pempek
8;General Restaurant;Restaurant Diner
9;Retail;Store Grocery Pharmacy Deli Supermarket Shop
10;Services;Barber Service Copy Laundry Wash Car Mechanic Repair Motorcycle Salon Cleaner Care Skin Clinic Photographer
11;Bakeries, Cakes, and Desserts;Martabak Bakery Murtabak Ice Cream 
12;Electronics;Vaporizer Phone Cell Laptop Electronics Video Game Toy
13;Materials;Building Materials Cement
14;Clothing;Clothing Baju Jeans Kaos Tailor
