KodePos,Kelurahan,jumlah_rt
15220,Pondok Jaya,30
15221,Pondok Betung,72
15222,Jurangmangu Timur,93
15223,Jurangmangu Barat,107
15224,Pondok Aren,86
15225,Pondok Karya,70
15226,Pondok Kacang Barat-Pondok Kacang Timur,175
15227,Parigi,91
15228,Parigi Baru,30
15229,Pondok Pucung,102
15310,Buaran-Ciater-Cilenggang-Rawa Mekarjaya,243
15311,Serpong,41
15312,Keranggan(Kranggan),23
15313,Kademangan,65
15314,Muncul-Setu,50
15315,Babakan-Bakti Jaya,105
15318,Rawabuntu,110
15320,Lengkong Karya-Pakualam,99
15321,Lengkong Gudang-Lengkong Gudang Timur,88
15322,Lengkong Wetan,40
15323,Jelupang,98
15324,Pakujaya (Paku Jaya),139
15325,Pakulonan,36
15326,Pondok Jagung-Pondok Jagung Timur,132
15411,Cipayung-Ciputat,120
15412,Cempaka Putih-Pondok Ranji-Rempoa-Rengas,276
15413,Sawah Baru-Sawah Lama,110
15414,Jombang-Serua-Serua Indah,333
15415,Bambu Apus-Kedaung,173
15416,Pondok Benda,154
15417,Pamulang Barat-Pamulang Timur,220
15418,Benda Baru-Pondok Cabe Ilir-Pondok Cabe Udik,292
15419,Cireundeu-Pisangan,170
